Date/time,Pressure,Temperature[°C],Barometric,Depth
5/28/2023 23:15,761.608,7.407,749.008,0.333047091
5/28/2023 23:20,761.608,7.372333333,748.9693333,0.333432982
5/28/2023 23:25,761.608,7.337666667,748.9306667,0.333818868
5/28/2023 23:30,761.608,7.303,748.892,0.334204748
5/28/2023 23:35,761.5496667,7.271,748.892,0.333620359
5/28/2023 23:40,761.4913333,7.239,748.892,0.333035978
5/28/2023 23:45,761.433,7.207,748.892,0.332451605
5/28/2023 23:50,761.433,7.173666667,748.9306667,0.332063935
5/28/2023 23:55,761.433,7.140333333,748.9693333,0.331676271
5/29/2023 0:00,761.433,7.107,749.008,0.331288612
5/29/2023 0:05,761.433,7.077,748.9693333,0.331674614
5/29/2023 0:10,761.433,7.047,748.9306667,0.332060611
5/29/2023 0:15,761.433,7.017,748.892,0.332446603
5/29/2023 0:20,761.3746667,6.987,748.9306667,0.331475536
5/29/2023 0:25,761.3163333,6.957,748.9693333,0.330504481
5/29/2023 0:30,761.258,6.927,749.008,0.329533439
5/29/2023 0:35,761.258,6.899,748.9693333,0.329919489
5/29/2023 0:40,761.258,6.871,748.9306667,0.330305534
5/29/2023 0:45,761.258,6.843,748.892,0.330691575
5/29/2023 0:50,761.4136667,6.817666667,748.8336667,0.332831452
5/29/2023 0:55,761.5693333,6.792333333,748.7753333,0.334971307
5/29/2023 1:00,761.725,6.767,748.717,0.337111139
5/29/2023 1:05,761.6276667,6.745666667,748.7753333,0.335553524
5/29/2023 1:10,761.5303333,6.724333333,748.8336667,0.333995923
5/29/2023 1:15,761.433,6.703,748.892,0.332438336
5/29/2023 1:20,761.5303333,6.679666667,748.8336667,0.333994733
5/29/2023 1:25,761.6276667,6.656333333,748.7753333,0.335551114
5/29/2023 1:30,761.725,6.633,748.717,0.33710748
5/29/2023 1:35,761.5306667,6.612,748.717,0.335163171
5/29/2023 1:40,761.3363333,6.591,748.717,0.333218879
5/29/2023 1:45,761.142,6.57,748.717,0.331274605
5/29/2023 1:50,761.142,6.549,748.678,0.331664133
5/29/2023 1:55,761.142,6.528,748.639,0.332053657
5/29/2023 2:00,761.142,6.507,748.6,0.332443178
5/29/2023 2:05,761.142,6.485666667,748.639,0.332052546
5/29/2023 2:10,761.142,6.464333333,748.678,0.331661917
5/29/2023 2:15,761.142,6.443,748.717,0.331271292
5/29/2023 2:20,761.142,6.424333333,748.717,0.331270805
5/29/2023 2:25,761.142,6.405666667,748.717,0.331270319
5/29/2023 2:30,761.142,6.387,748.717,0.331269832
5/29/2023 2:35,761.239,6.367,748.6196667,0.333212945
5/29/2023 2:40,761.336,6.347,748.5223333,0.335156043
